Date,close,oil price
2021/6/17,38053.50391,72.92
2021/6/18,35787.24609,73.1
2021/6/21,31676.69336,74.49
2021/6/22,32505.66016,74.92
2021/6/23,33723.02734,75.22
2021/6/24,34662.4375,75.95
2021/6/25,31637.7793,76.45
2021/6/28,34434.33594,74.78
2021/6/29,35867.77734,75.38
2021/6/30,35040.83594,76.94
2021/7/1,33572.11719,76.69
2021/7/2,33897.04688,77.51
2021/7/5,33746.00391,78.34
2021/7/6,34235.19531,75.81
2021/7/7,33855.32813,74.31
2021/7/8,32877.37109,75.07
2021/7/9,33798.01172,77.14
2021/7/12,33155.84766,76.77
2021/7/13,32702.02539,77.5
2021/7/14,32822.34766,75.74
2021/7/15,31780.73047,74.53
2021/7/16,31421.53906,74.46
2021/7/19,30817.83203,69.33
2021/7/20,29807.34766,70.03
2021/7/21,32110.69336,72.54
2021/7/22,32313.10547,74.25
2021/7/23,33581.55078,74.86
2021/7/26,37337.53516,74.79
2021/7/27,39406.94141,74.87
2021/7/28,39995.90625,75.09
2021/7/29,40008.42188,76.3
2021/7/30,42235.54688,77.72
2021/8/2,39201.94531,73.91
2021/8/3,38152.98047,73.24
2021/8/4,39747.50391,70.99
2021/8/5,40869.55469,72.14
2021/8/6,42816.5,71.02
2021/8/9,46365.40234,69.65
2021/8/10,45585.03125,71.14
2021/8/11,45593.63672,71.99
2021/8/12,44428.28906,71.79
2021/8/13,47793.32031,70.9
2021/8/16,46004.48438,70.07
2021/8/17,44695.35938,69.4
2021/8/18,44801.1875,68.61
2021/8/19,46717.57813,66.8
2021/8/20,49339.17578,65.51
2021/8/23,49546.14844,69.07
2021/8/24,47706.11719,71.21
2021/8/25,48960.78906,72.12
2021/8/26,46942.21875,70.42
2021/8/27,49058.66797,72.26
2021/8/31,47166.6875,73.45
2021/9/1,48847.02734,71.99
2021/9/2,49327.72266,73.56
2021/9/3,50025.375,73.07
2021/9/6,52633.53516,72.43
2021/9/7,46811.12891,71.52
2021/9/8,46091.39063,72.36
2021/9/9,46391.42188,71.32
2021/9/10,44883.91016,72.44
2021/9/13,44963.07422,72.97
2021/9/14,47092.49219,73.05
2021/9/15,48176.34766,74.84
2021/9/16,47783.35938,75.14
2021/9/17,47267.51953,74.64
2021/9/20,42843.80078,73.59
2021/9/21,40693.67578,73.65
2021/9/22,43574.50781,75.5
2021/9/23,44895.09766,76.44
2021/9/24,42839.75,77.42
2021/9/27,42235.73047,78.85
2021/9/28,41034.54297,78.3
2021/9/29,41564.36328,77.86
2021/9/30,43790.89453,77.81
2021/10/1,48116.94141,79.4
2021/10/4,49112.90234,81.44
2021/10/5,51514.8125,82.72
2021/10/6,55361.44922,81.39
2021/10/7,53805.98438,82.34
2021/10/8,53967.84766,82.17
2021/10/11,57484.78906,83.75
2021/10/12,56041.05859,83.53
2021/10/13,57401.09766,83.53
2021/10/14,57321.52344,83.86
2021/10/15,61593.94922,84.67
2021/10/18,62026.07813,84.13
2021/10/19,64261.99219,85.02
2021/10/20,65992.83594,85.76
2021/10/21,62210.17188,84.58
2021/10/22,60692.26563,85.43
2021/10/25,63039.82422,84.85
2021/10/26,60363.79297,85.11
2021/10/27,58482.38672,84.12
2021/10/28,60622.13672,83.4
2021/10/29,62227.96484,83.1
2021/11/1,61004.40625,84.51
2021/11/2,63226.40234,84.42
2021/11/3,62970.04688,81.1
2021/11/4,61452.23047,80.15
2021/11/5,61125.67578,82.43
2021/11/8,67566.82813,83.22
2021/11/9,66971.82813,84.52
2021/11/10,64995.23047,82.91
2021/11/11,64949.96094,83.4
2021/11/12,64155.94141,82.9
2021/11/15,63557.87109,81.94
2021/11/16,60161.24609,82.85
2021/11/17,60368.01172,80.67
2021/11/18,56942.13672,82.45
2021/11/19,58119.57813,80.24
2021/11/22,56289.28906,80.97
2021/11/23,57569.07422,83.43
2021/11/24,56280.42578,82.37
2021/11/25,57274.67969,82.05
2021/11/26,53569.76563,72.37
2021/11/29,57806.56641,73.34
2021/11/30,57005.42578,70.86
2021/12/1,57229.82813,69.53
2021/12/2,56477.81641,70.56
2021/12/3,53598.24609,70.71
2021/12/6,50582.625,73.38
2021/12/7,50700.08594,75.54
2021/12/8,50504.79688,75.94
2021/12/9,47672.12109,74.1
2021/12/10,47243.30469,74.98
2021/12/13,46737.48047,74.12
2021/12/14,46612.63281,73.37
2021/12/15,48896.72266,73.71
2021/12/16,47665.42578,74.64
2021/12/17,46202.14453,72.97
2021/12/20,46880.27734,70.51
2021/12/21,48936.61328,72.85
2021/12/22,48628.51172,74.69
2021/12/23,50784.53906,76.26
2021/12/24,50822.19531,75.24
2021/12/29,46444.71094,78.63
2021/12/30,47178.125,78.61
2021/12/31,46306.44531,77.24
2022/1/3,46458.11719,78.25
2022/1/4,45897.57422,79.39
